date,XLE,XLU,XLK,XLB,XLP,XLY,XLI,XLV,XLF,TLT
2010-01-01,36.32428741455078,19.13410377502441,18.79084014892578,24.47858047485352,18.32305145263672,24.93914794921875,21.29842758178711,24.580486297607425,9.118793487548828,61.77980422973633
2010-01-04,37.47117614746094,19.171117782592773,19.0694637298584,25.242828369140625,18.46149635314941,25.13182640075684,21.704626083374023,25.007692337036133,9.302433013916016,61.72479248046875
2010-01-05,37.77700805664063,18.94289207458496,19.04488182067871,25.324464797973636,18.468414306640625,25.223974227905277,21.78126335144043,24.76243782043457,9.47341251373291,62.12338638305664
2010-01-06,38.2293701171875,19.053916931152344,18.831809997558597,25.754817962646484,18.45457649230957,25.257482528686523,21.82724952697754,25.01560401916504,9.49241065979004,61.29181671142578
2010-01-07,38.17205429077149,18.96756172180176,18.758054733276367,25.55447769165039,18.45457649230957,25.466917037963867,22.06483459472656,25.102632522583008,9.695051193237305,61.39485931396485
2010-01-08,38.420536041259766,18.94906234741211,18.880977630615234,25.91063499450684,18.392263412475582,25.45854377746582,22.417377471923828,25.142183303833008,9.638060569763184,61.36739730834961
2010-01-11,38.36956405639648,19.146446228027344,18.807226181030277,25.769662857055664,18.44072151184082,25.40827751159668,22.662628173828125,25.284591674804688,9.644390106201172,61.030609130859375
2010-01-12,37.815223693847656,19.06625747680664,18.602352142333984,25.279935836791992,18.54456329345703,25.0815544128418,22.47869873046875,25.102632522583008,9.505074501037598,62.07527923583984
2010-01-13,37.955413818359375,19.27598571777344,18.78264045715332,25.576738357543945,18.67608070373535,25.36639213562012,22.57065963745117,25.434904098510746,9.612728118896484,61.35365676879883
2010-01-14,38.06373977661133,19.189624786376957,18.831809997558597,25.265100479125977,18.620702743530277,25.36639213562012,22.57065963745117,25.66433334350586,9.65705394744873,62.21271514892578
2010-01-15,37.75788497924805,19.06625747680664,18.56957626342773,25.079599380493164,18.530710220336918,25.115068435668945,22.279430389404297,25.49028587341309,9.460749626159668,62.5976676940918
2010-01-18,37.75788497924805,19.06625747680664,18.56957626342773,25.079599380493164,18.530710220336918,25.115068435668945,22.279430389404297,25.49028587341309,9.460749626159668,62.5976676940918
2010-01-19,38.10194778442383,19.2883243560791,18.889175415039062,25.480281829833984,18.64146614074707,25.450164794921875,22.524677276611328,26.107370376586918,9.581064224243164,62.41894912719727
2010-01-20,37.50939178466797,19.08477210998535,18.58596420288086,25.027660369873047,18.50302505493164,25.106689453125,22.179800033569336,25.88584899902344,9.555736541748049,63.05120086669922
2010-01-21,36.744815826416016,18.807188034057617,18.3892879486084,23.944337844848636,18.239978790283203,24.78835678100586,21.666309356689453,25.32414054870605,9.283434867858888,63.33992767333984
2010-01-22,35.871910095214844,18.39391326904297,17.750093460083008,23.46946144104004,18.198442459106445,24.310850143432617,21.33674049377441,25.047250747680664,8.979477882385254,63.229976654052734
2010-01-25,36.107666015625,18.517276763916016,17.89759635925293,23.677217483520508,18.23305892944336,24.436506271362305,21.474702835083008,25.047250747680664,9.03014087677002,62.9412727355957
2010-01-26,35.87826919555664,18.59130096435547,17.848426818847656,23.343311309814453,18.212289810180664,24.47002220153809,21.38272857666016,24.90485382080078,8.871826171875,62.961875915527344
2010-01-27,35.73811721801758,18.467931747436523,17.995929718017578,23.14297866821289,18.25382232666016,24.511913299560547,21.444047927856445,25.07890510559082,9.087132453918455,62.9275016784668
2010-01-28,35.36217498779297,18.32605361938477,17.479656219482422,22.727453231811523,18.205366134643555,24.36949348449707,21.198793411254883,24.92067146301269,9.042804718017578,62.89315414428711
2010-01-29,34.72502899169922,18.215028762817383,17.176450729370117,22.36387825012207,18.136138916015625,24.218700408935547,20.98420524597168,24.746627807617188,8.979477882385254,63.4429817199707
2010-02-01,35.871910095214844,18.332225799560547,17.373130798339844,23.25428009033203,18.27459144592285,24.52865600585937,21.29842758178711,24.88902473449707,9.131458282470703,62.86711883544922
2010-02-02,36.34341812133789,18.48026657104492,17.54521942138672,23.3284854888916,18.53763198852539,24.87212371826172,21.704626083374023,25.403261184692383,9.220111846923828,63.04640579223633
2010-02-03,36.03120803833008,18.350732803344727,17.586193084716797,23.061363220214844,18.40611267089844,24.88888359069824,21.574329376220703,25.063077926635746,9.118793487548828,62.31530380249024
2010-02-04,34.55299377441406,17.869598388671875,17.094499588012695,22.20063591003418,18.03230857849121,24.168434143066406,20.938220977783203,24.430160522460938,8.726176261901855,63.30159759521485
2010-02-05,34.55937576293945,17.838769912719727,17.266592025756836,22.616151809692383,17.98386001586914,24.101417541503903,20.846250534057617,24.390609741210938,8.827500343322754,63.43955993652344
2010-02-08,34.24078750610352,17.635211944580078,17.192838668823242,22.25257682800293,17.96309471130371,23.950626373291016,20.6163272857666,24.27194595336914,8.650190353393555,63.52228164672852
2010-02-09,34.96077346801758,17.814090728759766,17.340347290039062,22.794235229492188,18.177682876586918,24.31922912597656,21.01485252380371,24.46181297302246,8.738844871520996,62.88776779174805
2010-02-10,34.814231872558594,17.733901977539062,17.291175842285156,22.6384220123291,18.15691375732422,24.218700408935547,20.98420524597168,24.311494827270508,8.808501243591309,62.287696838378906
2010-02-11,35.40679931640625,17.838769912719727,17.471458435058594,23.02426147460937,18.302276611328125,24.50352668762207,21.29842758178711,24.47763442993164,8.827500343322754,61.949737548828125
2010-02-12,35.419532775878906,17.77091407775879,17.504243850708008,22.979738235473636,18.302276611328125,24.50352668762207,21.12981986999512,24.422258377075195,8.833829879760742,62.20491790771485
